№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
232,С345,340,пр.180х140х7,180,180,,,,42.8,33.6,1952,216.9,,6.75,1322.9,189,5.56
233,С345,340,пр.180х140х8,180,180,,,,48.7,38.2,2187.3,243,,6.7,1480.6,211.5,5.51
234,С345,340,пр.200х120х4,200,200,,,,27.7,21.8,1631.8,163.2,,7.68,1160,145,6.47
235,С345,340,пр.200х160х5,200,200,,,,34.6,27.2,2039.7,204,,7.67,1450,181.2,6.46
236,С345,340,пр.200х160х6,200,200,,,,41.4,32.5,2412.4,241.2,,7.63,1712.3,214,6.43
237,С345,340,пр.200х160х7,200,200,,,,48.2,37.8,2767.1,276.7,,7.58,1962,245.2,6.38
238,С345,340,пр.200х160х8,200,200,,,,54.8,43,3104.3,310.4,,7.53,2199,274.9,6.33
239,С345,340,пр.200х160х9,200,200,,,,61.3,48.1,3424,342.3,,7.48,2436,303.3,6.28
240,С345,340,пр.200х160х10,200,200,,,,67.7,53.1,3726.7,372.4,,7.43,2211.7,330.4,6.23
241,С345,340,пр.300х200х8,300,300,,,,75.8,59.5,9512,634,,11.2,5069,510,8.2
242,С345,340,пр.300х200х9,300,300,,,,84.7,66.5,10527,702,,11.15,5630,563,8.15
243,С345,340,пр.300х200х10,300,300,,,,93.4,73.3,11505,767,,11.1,6143,614,8.11
244,С345,340,пр.300х200х11,300,300,,,,102,80.1,12446,830,,11.05,6634,663,8.06
245,С345,340,пр.300х200х12,300,300,,,,111,86.8,13351,890,,11,7104,710,8.01
246,С345,340,пр.300х200х13,300,300,,,,119,93.4,12482,945,,10.95,7553,755,7.96
247,С345,340,пр.300х200х14,300,300,,,,127,99.8,15054,1004,,10.9,7983,798,7.92
248,С345,340,пр.320х180х8,320,320,,,,75.8,59.5,10341,646,,11.7,4248,472,7.49
249,С345,340,пр.320х180х9,320,320,,,,93.4,73.3,12506,782,,11.6,5111,568,7.4
250,С345,340,пр.320х180х10,320,320,,,,111,86.8,14511,907,,11.5,5899,655,7.31
251,С345,340,пр.320х180х11,320,320,,,,127,99.8,16359,1022,,11.3,6617,735,7.21
252,С345,340,пр.340х160х9,340,340,,,,84.7,66.5,12306,724,,12.1,3793,474,6.69
253,С345,340,пр.340х160х10,340,340,,,,93.4,73.3,13446,791,,12,4130,516,6.65
254,С345,340,пр.340х160х11,340,340,,,,111,86.8,15596,917,,11.9,4755,594,6.56
255,С345,340,пр.340х160х12,340,340,,,,127,99.8,17576,1034,,11.8,5319,655,6.47
256,С345,340,пр.340х260х10,340,340,,,,113,89,18892,1111,,12.9,12510,962,10.5
257,С345,340,пр.340х260х11,340,340,,,,135,106,22054,1297,,12.8,14577,1121,10.4
258,С345,340,пр.340х260х12,340,340,,,,155,122,25020,1472,,12.7,16508,1269,10.3
259,С345,340,пр.380х220х10,380,380,,,,113,89,21925,1154,,13.9,9416,856,9.11
260,С345,340,пр.380х220х11,380,380,,,,135,106,25594,1347,,13.8,10948,995,9.02
261,С345,340,пр.380х220х12,380,380,,,,155,122,29037,1528,,13.7,12370,1125,8.93
262,С345,340,пр.400х200х10,400,400,,,,113,89,23345,1167,,14.3,7949,795,8.37
263,С345,340,пр.400х200х11,400,400,,,,135,106,27248,1362,,14.2,9227,923,8.28
264,С345,340,пр.400х200х12,400,400,,,,155,122,30907,1545,,14.1,10409,1041,8.19
265,С245,240,пр.60х40х2 90°,60,60,,,,3.8,3,10,5,,2.23,18.8,6.2,1.63
266,С245,240,"пр.60х40х2,5 90°",60,60,,,,4.7,3.6,11.8,5.9,,2.2,22.4,7.4,1.6
267,С245,240,пр.60х40х3 90°,60,60,,,,5.5,4.3,13.7,6.8,,2.18,26,8.6,1.58
268,С245,240,пр.60х40х4 90° ,60,60,,,,7.1,5.5,16.7,8.3,,2.13,32.2,10.7,1.54
