пролет,k,"Высота, м",вариант,"шаг рам,м",с/в,колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг"
21м,1.0,4.8,стандарт,5,2/2,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,102,9х2,10х2,300,556,268
21м,0.8,4.8,стандарт,6,1/3,"ПГС245/20х80х2,5",85,"ПГС245/20х80х2,5",86,"2ТПС 195х45х1,5 (шаг 2,1м)",80,9х2,8х2,9х2,8х2,284,656,276
21м,0.8,4.8,стандарт,6,2/3,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",85,9х2,9х2,9х2,9х2,300,809,280
21м,0.8,4.8,стандарт,6,2/4,"ПГС300/20х80х2,5",90,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",85,10х2,10х2,10х2,10х2,332,809,310
21м,0.8,4.8,стандарт,5,3/1,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,11х2,8х2,10х2,332,809,309
21м,0.8,4.8,стандарт,5,3/2,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,10х2,9х2,11х2,340,809,315
21м,0.8,4.8,стандарт,4,4/1,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,86,"2ТПС 195х45х1,5 (шаг 1,75м)",81,11х2,11х2,8х2,11х2,340,809,315
21м,0.8,4.8,стандарт,3.5,4/3,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 2,1м)",79,10х2,9х2,8х2,10х2,308,787,290
21м,0.8,4.8,стандарт,3,5/1,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,5м)",50,11х2,10х2,7х2,10х2,316,787,299
21м,0.8,4.8,стандарт,3,5/3,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,5м)",50,11х2,10х2,8х2,11х2,332,787,309
21м,0.8,4.8,стандарт,6,2/2,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,80,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,10х2,300,556,268
21м,1.0,6,стандарт,5,1/3,ПГС300/20х80х3,87,"ПГС245/20х80х2,5",88,"2ТПС 195х45х1,5 (шаг 2,1м)",70,8х2,8х2,9х2,8х2,276,777,271
21м,1.0,6,стандарт,4.5,2/3,"ПГС300/20х80х2,5",90,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,75м)",76,9х2,9х2,9х2,9х2,300,862,280
21м,1.0,6,стандарт,4,2/4,ПГС300/20х80х3,84,ПГС300/20х80х3,77,"2ТПС 195х45х1,5 (шаг 2,1м)",85,9х2,9х2,9х2,8х2,292,908,278
21м,1.0,6,стандарт,4,3/1,ПГС300/20х80х3,64,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,75м)",91,11х2,11х2,8х2,10х2,332,908,309
21м,1.0,6,стандарт,3.5,3/2,"ПГС245/20х80х2,5",79,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,75м)",84,10х2,9х2,8х2,10х2,308,837,304
21м,1.0,6,стандарт,3,4/1,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,837,309
21м,1.0,6,стандарт,3,4/3,"ПГС300/20х80х2,5",77,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,9х2,11х2,340,862,315
21м,1.0,6,стандарт,2.5,5/1,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,9х2,7х2,10х2,308,837,289
21м,1.0,6,стандарт,2.5,5/3,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,89,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,8х2,10х2,324,837,305
21м,1.0,6,стандарт,5,2/2,ПГС300/20х80х3,76,ПГС300/20х80х3,86,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,9х2,300,556,268
21м,0.8,6,стандарт,6,1/3,"ПГС300/20х80х2,5",87,"ПГС300/20х80х2,5",73,"2ТПС 195х45х1,5 (шаг 2,1м)",80,8х2,8х2,9х2,8х2,276,777,271
21м,0.8,6,стандарт,6,2/3,ПГС300/20х80х3,85,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",85,10х2,10х2,9х2,9х2,316,908,296
21м,0.8,6,стандарт,5,2/4,ПГС300/20х80х3,84,ПГС300/20х80х3,77,"2ТПС 200х45х1,5 (шаг 2,1м)",87,9х2,9х2,9х2,8х2,292,908,280
21м,0.8,6,стандарт,5,3/1,ПГС300/20х80х3,63,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,11х2,8х2,10х2,332,837,309
21м,0.8,6,стандарт,4,3/2,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,79,"2ТПС 195х45х1,5 (шаг 2,1м)",80,10х2,9х2,8х2,10х2,308,837,290
21м,0.8,6,стандарт,4,4/1,ПГС300/20х80х3,63,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,75м)",81,11х2,11х2,7х2,10х2,324,908,303
21м,0.8,6,стандарт,3.5,4/3,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 2,1м)",79,10х2,10х2,9х2,10х2,324,862,306
21м,0.8,6,стандарт,3,5/1,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",50,11х2,10х2,7х2,10х2,316,837,299
21м,0.8,6,стандарт,3,5/3,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",50,11х2,9х2,7х2,10х2,308,837,289
21м,0.8,6,стандарт,6,2/2,ПГС300/20х80х3,75,ПГС300/20х80х3,83,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,9х2,300,556,268
24м,1.0,6,стандарт,6,1/3,ПГС300/20х80х3,86,ПГС300/20х80х2,78,,,7х2,9х2,9х2,6х2,248,787.183296,478
24м,1.0,6,вариант_2,6,1/3,ПГС245/20х80х2,61,ПГС300/20х80х2 сг по Р,85,,,8х2,10х2,7х2,9х2,272,674.5584960000001,507
24м,1.0,6,стандарт,5,2/3,"ПГС300/20х80х2,5",88,"ПГС300/20х80х2,5",87,,,9х2,11х2,10х2,9х2,312,831.982248,555
24м,1.0,6,стандарт,4.5,2/4,ПГС300/20х80х3,85,"ПГС300/20х80х2,5",90,,,8х2,10х2,9х2,7х2,272,878.892648,507
24м,1.0,6,стандарт,4.3,3/1,ПГС300/20х80х2 М.П.390,80,ПГС300/20х80х3,88,,,8х2,10х2,9х2,10х2,296,879.5988960000002,536
24м,1.0,6,стандарт,4.3,3/2,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,,,8х2,10х2,9х2,9х2,288,925.5684960000001,526
24м,1.0,6,стандарт,3.33,4/1,ПГС300/20х80х2,83,ПГС300/20х80х3,86,,,9х2,10х2,9х2,10х2,304,879.5988960000002,545
24м,1.0,6,стандарт,3.33,4/3,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,88,,,9х2,10х2,9х2,10х2,304,925.5684960000001,545
24м,1.0,6,стандарт,2.73,5/1,ПГС300/20х80х2,72,ПГС300/20х80х3,87,,,9х2,9х2,8х2,10х2,288,879.5988960000002,526
24м,1.0,6,стандарт,2.73,5/3,ПГС300/20х80х2,81,ПГС300/20х80х3,88,,,9х2,10х2,9х2,10х2,304,879.5988960000002,545
24м,1.0,6,стандарт,6,2/2,ПГС300/20х80х3,84,ПГС300/20х80х3,78,,,8х2,11х2,9х2,9х2,296,972.4788960000001,536
24м,1.0,6,стандарт,4.3,3/3,"ПГС300/20х80х2,5 М.П.390",82,ПГС300/20х80х3,84,,,8х2,11х2,9х2,9х2,296,925.5684960000001,536
24м,0.8,6,стандарт,6,1/3,"ПГС300/20х80х2,5",84,ПГС300/20х80х2,78,,,6х2,9х2,9х2,6х2,240,740.272896,468
24м,0.8,6,вариант_2,6,1/3,"ПГС245/20х80х1,5",70,ПГС300/20х80х2 сг по Р,69,,,8х2,9х2,8х2,11х2,288,632.354496,526
24м,0.8,6,стандарт,6,2/3,"ПГС300/20х80х2,5 М.П.390",80,"ПГС300/20х80х2,5 М.П.390",82,,,8х2,10х2,9х2,8х2,280,831.982248,516
24м,0.8,6,стандарт,6,2/4,ПГС300/20х80х3,89,ПГС300/20х80х3,75,,,7х2,9х2,10х2,8х2,272,972.4788960000001,507
24м,0.8,6,стандарт,5,3/1,ПГС300/20х80х2,82,ПГС300/20х80х3,83,,,8х2,9х2,8х2,10х2,280,879.5988960000002,516
24м,0.8,6,стандарт,5,3/2,ПГС300/20х80х2,86,ПГС300/20х80х3,83,,,8х2,9х2,9х2,11х2,296,879.5988960000002,536
24м,0.8,6,стандарт,4,4/1,ПГС300/20х80х2,81,ПГС300/20х80х3,83,,,8х2,10х2,8х2,10х2,288,879.5988960000002,526
24м,0.8,6,стандарт,3.75,4/3,ПГС300/20х80х2 М.П.390,87,ПГС300/20х80х3,79,,,8х2,9х2,9х2,10х2,288,879.5988960000002,526
24м,0.8,6,стандарт,3.53,5/1,ПГС300/20х80х2,73,ПГС300/20х80х3,88,,,8х2,9х2,7х2,9х2,264,879.5988960000002,497
24м,0.8,6,стандарт,3.16,5/3,ПГС300/20х80х2,83,ПГС300/20х80х3,82,,,9х2,9х2,9х2,10х2,296,879.5988960000002,536
24м,0.8,6,стандарт,6,2/2,"ПГС300/20х80х2,5",75,"ПГС300/20х80х2,5",81,,,8х2,10х2,9х2,8х2,280,831.982248,516
24м,0.8,6,стандарт,5,3/3,"ПГС300/20х80х2,5",78,ПГС300/20х80х3,83,,,8х2,10х2,9х2,9х2,288,925.5684960000001,526
24м,1.0,7,стандарт,6,1/3,ПГС300/20х80х3,89,ПГС300/20х80х2,88,,,7х2,9х2,10х2,6х2,256,841.300096,488
24м,1.0,7,вариант_2,6,1/3,ПГС245/20х80х2,74,ПГС300/20х80х2 сг по Р,86,,,8х2,11х2,8х2,9х2,288,709.9044960000001,526
24м,1.0,7,стандарт,4.5,2/3,ПГС300/20х80х3,87,"ПГС300/20х80х2,5",84,,,8х2,10х2,10х2,10х2,304,933.009448,545
24м,1.0,7,стандарт,3.75,2/4,ПГС300/20х80х3,86,"ПГС300/20х80х2,5",86,,,8х2,10х2,9х2,7х2,272,933.009448,507
24м,1.0,7,стандарт,4.3,3/1,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,87,,,8х2,10х2,8х2,9х2,280,971.8668960000001,516
24м,1.0,7,стандарт,4.3,3/2,"ПГС300/20х80х2,5",84,ПГС300/20х80х3,89,,,9х2,10х2,10х2,9х2,304,971.8668960000001,545
24м,1.0,7,стандарт,3.33,4/1,ПГС300/20х80х2 М.П.390,83,ПГС300/20х80х3,88,,,9х2,10х2,9х2,10х2,304,918.2356960000002,545
24м,1.0,7,стандарт,3.16,4/3,"ПГС300/20х80х2,5",82,ПГС300/20х80х3,83,,,9х2,10х2,10х2,9х2,304,971.8668960000001,545
24м,1.0,7,стандарт,2.73,5/1,ПГС300/20х80х2,79,ПГС300/20х80х3,88,,,9х2,9х2,8х2,10х2,288,918.2356960000002,526
24м,1.0,7,стандарт,2.73,5/3,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,88,,,10х2,10х2,9х2,9х2,304,971.8668960000001,545
24м,1.0,7,стандарт,5,2/2,ПГС300/20х80х3,81,"ПГС300/20х80х2,5",88,,,8х2,11х2,9х2,8х2,288,933.009448,526
24м,1.0,7,стандарт,4.3,3/3,"ПГС300/20х80х2,5 М.П.390",89,ПГС300/20х80х3,89,,,9х2,10х2,10х2,9х2,304,971.8668960000001,545
24м,0.8,7,стандарт,6,1/3,ПГС300/20х80х3,87,ПГС300/20х80х2,84,,,8х2,11х2,11х2,7х2,296,841.300096,536
24м,0.8,7,вариант_2,6,1/3,ПГС245/20х80х2,57,ПГС300/20х80х2 сг по Р,69,,,7х2,9х2,7х2,8х2,248,709.9044960000001,478
24м,0.8,7,стандарт,5,2/3,ПГС300/20х80х3,78,"ПГС300/20х80х2,5",75,,,7х2,8х2,9х2,7х2,248,933.009448,478
24м,0.8,7,стандарт,4.5,2/4,ПГС300/20х80х3,84,"ПГС300/20х80х2,5",75,,,10х2,10х2,10х2,10х2,320,933.009448,564
24м,0.8,7,стандарт,5,3/1,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,85,,,8х2,11х2,8х2,9х2,288,971.8668960000001,526
24м,0.8,7,стандарт,5,3/2,"ПГС300/20х80х2,5",78,ПГС300/20х80х3,82,,,8х2,10х2,9х2,9х2,288,971.8668960000001,526
24м,0.8,7,стандарт,4,4/1,ПГС300/20х80х2 М.П.390,79,ПГС300/20х80х3,84,,,8х2,10х2,8х2,11х2,296,918.2356960000002,536
24м,0.8,7,стандарт,3.75,4/3,"ПГС300/20х80х2,5",78,ПГС300/20х80х3,79,,,8х2,10х2,9х2,9х2,288,971.8668960000001,526
24м,0.8,7,стандарт,3.53,5/1,ПГС300/20х80х2,82,ПГС300/20х80х3,90,,,9х2,10х2,8х2,10х2,296,918.2356960000002,536
24м,0.8,7,стандарт,3.16,5/3,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,82,,,9х2,9х2,8х2,9х2,280,971.8668960000001,516
24м,0.8,7,стандарт,6,2/2,ПГС300/20х80х3,78,"ПГС300/20х80х2,5",88,,,8х2,10х2,9х2,8х2,280,933.009448,516
24м,0.8,7,стандарт,5,3/3,"ПГС300/20х80х2,5 М.П.390",83,ПГС300/20х80х3,83,,,8х2,10х2,10х2,9х2,296,971.8668960000001,536
24м,1.0,8,стандарт,6,1/3,ПГС300/20х80х2,81,ПГС300/20х80х2 сг по Р,89,,,8х2,11х2,9х2,10х2,304,771.576896,545
24м,1.0,8,вариант_2,4,1/3,ПГС300/20х80х3,89,ПГС300/20х80х2,77,,,6х2,8х2,10х2,5х2,232,895.4168960000001,459
24м,1.0,8,стандарт,3.75,2/3,ПГС300/20х80х3,88,"ПГС300/20х80х2,5",73,,,8х2,10х2,9х2,7х2,272,987.126248,507
24м,1.0,8,стандарт,5,2/4,ПГС300/20х80х2 М.П.390,89,ПГС300/20х80х3 сг по Р,85,,,8х2,10х2,10х2,11х2,312,956.8724960000002,555
24м,1.0,8,стандарт,4.3,3/1,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,86,,,8х2,10х2,9х2,9х2,288,1018.1652960000001,526
24м,1.0,8,стандарт,4.3,3/2,ПГС300/20х80х3,84,ПГС300/20х80х3,88,,,9х2,10х2,9х2,8х2,288,1080.712496,526
24м,1.0,8,стандарт,3.33,4/1,"ПГС300/20х80х2,5",73,ПГС300/20х80х3,87,,,9х2,10х2,9х2,10х2,304,1018.1652960000001,545
24м,1.0,8,стандарт,3.16,4/3,ПГС300/20х80х3,82,ПГС300/20х80х3,83,,,11х2,12х2,10х2,9х2,336,1080.712496,584
24м,1.0,8,стандарт,2.73,5/1,"ПГС300/20х80х2,5",63,ПГС300/20х80х3,87,,,9х2,10х2,8х2,9х2,288,1018.1652960000001,526
24м,1.0,8,стандарт,2.73,5/3,"ПГС300/20х80х2,5",84,ПГС300/20х80х3,88,,,10х2,10х2,10х2,10х2,320,1018.1652960000001,564
24м,1.0,8,стандарт,4.5,2/2,ПГС300/20х80х3,86,"ПГС300/20х80х2,5",84,,,8х2,10х2,9х2,7х2,272,987.126248,507
24м,1.0,8,стандарт,4,3/3,ПГС300/20х80х3 М.П.390,85,ПГС300/20х80х3,83,,,8х2,10х2,9х2,8х2,280,1080.712496,516
24м,0.8,8,стандарт,6,1/3,ПГС300/20х80х2,65,ПГС300/20х80х2 сг по Р,72,,,7х2,10х2,8х2,9х2,272,745.2504960000001,507
24м,0.8,8,вариант_2,5,1/3,ПГС300/20х80х3,89,ПГС300/20х80х2,76,,,6х2,8х2,10х2,5х2,232,895.4168960000001,459
24м,0.8,8,стандарт,4.75,2/3,ПГС300/20х80х3,87,ПГС300/20х80х3,76,,,7х2,9х2,9х2,7х2,256,1080.712496,488
24м,0.8,8,стандарт,6,2/4,ПГС300/20х80х2 М.П.390 ,87,"ПГС300/20х80х2,5 М.П.390 сг по Р",88,,,9х2,11х2,11х2,11х2,336,836.9598480000001,584
24м,0.8,8,стандарт,5,3/1,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,85,,,8х2,10х2,9х2,9х2,288,1018.1652960000001,526
24м,0.8,8,стандарт,5,3/2,"ПГС300/20х80х2,5 М.П.390",82,ПГС300/20х80х3 М.П.390,82,,,8х2,10х2,10х2,9х2,296,1018.1652960000001,536
24м,0.8,8,стандарт,4,4/1,"ПГС245/20х80х2,5",81,ПГС300/20х80х3,84,,,9х2,10х2,8х2,9х2,288,647.7780960000001,526
24м,0.8,8,стандарт,3.75,4/3,ПГС300/20х80х3,78,ПГС300/20х80х3,79,,,8х2,10х2,9х2,8х2,280,1080.712496,516
24м,0.8,8,стандарт,3.33,5/1,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,85,,,9х2,10х2,8х2,9х2,288,1018.1652960000001,526
24м,0.8,8,стандарт,3.16,5/3,"ПГС300/20х80х2,5",77,ПГС300/20х80х3,82,,,9х2,10х2,8х2,9х2,288,1018.1652960000001,526
24м,0.8,8,стандарт,6,2/2,ПГС300/20х80х3 М.П.390,82,"ПГС300/20х80х2,5",80,,,8х2,11х2,10х2,8х2,296,987.126248,536
24м,0.8,8,стандарт,4.7,3/3,ПГС300/20х80х3,88,"ПГС300/20х80х2,5 М.П.390",84,,,8х2,10х2,10х2,8х2,288,987.126248,526
24м,1.0,9,стандарт,6,1/3,ПГС300/20х80х2 М.П.390,80,ПГС300/20х80х2 сг по Р,86,,,8х2,11х2,10х2,9х2,304,810.213696,545
24м,1.0,9,вариант_2,3,1/3,ПГС300/20х80х3,88,ПГС245/20х80х2,70,,,8х2,7х2,10х2,5х2,240,910.1428200000001,468
24м,1.0,9,стандарт,3.33,2/3,ПГС300/20х80х3,90,"ПГС300/20х80х2,5",72,,,7х2,9х2,11х2,7х2,272,1041.243048,507
24м,1.0,9,стандарт,4.7,2/4,"ПГС300/20х80х2,5",78,ПГС300/20х80х3 сг по Р,84,,,7х2,10х2,10х2,10х2,296,1064.4636960000003,536
24м,1.0,9,стандарт,4.3,3/1,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,86,,,8х2,10х2,10х2,9х2,296,1064.4636960000003,536
24м,1.0,9,стандарт,4.3,3/2,ПГС300/20х80х3 М.П.390 с распорками,89,ПГС300/20х80х3,89,,,9х2,11х2,10х2,9х2,312,1134.829296,555
24м,1.0,9,стандарт,3.33,4/1,"ПГС300/20х80х2,5",83,ПГС300/20х80х3,87,,,9х2,10х2,10х2,10х2,312,1064.4636960000003,555
24м,1.0,9,стандарт,3,4/3,ПГС300/20х80х3,90,ПГС300/20х80х3,82,,,9х2,10х2,10х2,9х2,304,1134.829296,545
24м,1.0,9,стандарт,2.73,5/1,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,87,,,10х2,10х2,9х2,9х2,304,1064.4636960000003,545
24м,1.0,9,стандарт,2.73,5/3,ПГС300/20х80х3 с распорками,84,ПГС300/20х80х3,88,,,10х2,10х2,10х2,9х2,312,1134.829296,555
24м,1.0,9,стандарт,3,2/2,ПГС300/20х80х3 с распорками,89,"ПГС300/20х80х2,5",79,,,8х2,10х2,10х2,7х2,280,1041.243048,516
24м,1.0,9,стандарт,3.75,3/3,ПГС300/20х80х3 с распорками М.П.390,90,ПГС300/20х80х3,82,,,8х2,10х2,10х2,8х2,288,1134.829296,526
24м,0.8,9,стандарт,6,1/3,ПГС300/20х80х2 с распорками,77,ПГС300/20х80х2 сг по Р,76,,,7х2,10х2,9х2,9х2,280,810.213696,516
24м,0.8,9,вариант_2,4,1/3,ПГС300/20х80х3,87,ПГС300/20х80х2,67,,,8х2,6х2,10х2,5х2,232,949.5336960000001,459
24м,0.8,9,стандарт,3.75,2/3,ПГС300/20х80х3,84,ПГС300/20х80х2,85,,,10х2,10х2,9х2,9х2,304,949.5336960000001,545
24м,0.8,9,стандарт,5,2/4,"ПГС300/20х80х2,5",73,ПГС300/20х80х3 сг по Р,80,,,7х2,10х2,9х2,10х2,288,1064.4636960000003,526
24м,0.8,9,стандарт,5,3/1,"ПГС300/20х80х2,5",87,ПГС300/20х80х3,86,,,8х2,10х2,10х2,9х2,296,1064.4636960000003,536
24м,0.8,9,стандарт,4.7,3/2,ПГС300/20х80х3,86,ПГС300/20х80х3,77,,,8х2,10х2,9х2,8х2,280,1134.829296,516
24м,0.8,9,стандарт,4,4/1,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,83,,,9х2,10х2,9х2,9х2,296,1064.4636960000003,536
24м,0.8,9,стандарт,3.75,4/3,ПГС300/20х80х3,89,ПГС300/20х80х3,82,,,8х2,10х2,10х2,9х2,296,1134.829296,536
24м,0.8,9,стандарт,3.33,5/1,"ПГС300/20х80х2,5",78,ПГС300/20х80х3,85,,,9х2,10х2,8х2,9х2,288,1064.4636960000003,526
24м,0.8,9,стандарт,3.16,5/3,ПГС300/20х80х3 с распорками,77,ПГС300/20х80х3,82,,,9х2,10х2,9х2,8х2,288,1134.829296,526
24м,0.8,9,стандарт,5,2/2,ПГС300/20х80х3 с распорками,84,"ПГС300/20х80х2,5",77,,,7х2,10х2,10х2,7х2,272,1041.243048,507
24м,0.8,9,стандарт,4.5,3/3,ПГС300/20х80х3 распорки,89,"ПГС300/20х80х2,5 М.П.390",84,,,8х2,10х2,10х2,8х2,288,1041.243048,526
